what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096354862
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096359610
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096362383
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096362717
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096365894
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096369724
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096370433
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096370789
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096373517
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096376845
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096377557
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096377920
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096380606
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096383982
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096384730
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096385157
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096389130
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096402625
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469096406614
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096408728
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096410003
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096410325
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096414016
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096417863
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096418975
executed,command,org.eclipse.ui.workbench.texteditor,3.7.100.v20110816-0800,"org.eclipse.ui.edit.text.delete.line",1469096420576
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096421485
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096421907
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096425731
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096428793
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096430054
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096432856
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096435525
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096436281
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096436595
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096439360
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096444177
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096445034
executed,command,org.eclipse.ui.workbench.texteditor,3.7.100.v20110816-0800,"org.eclipse.ui.edit.text.delete.line",1469096446856
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096447691
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096448113
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096449701
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096451642
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096452726
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.delete",1469096456751
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.undo",1469096461876
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096472049
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096472494
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096510455
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469096514971
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096517395
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096518120
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096519978
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096527807
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096531686
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096532881
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096533170
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096534345
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469096536535
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096538766
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096539604
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096539946
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096543350
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096546467
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096547347
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096547728
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096551149
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096554153
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096554943
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096555238
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096558059
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096560422
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096561105
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096561448
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096564264
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096567283
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096567865
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096568229
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096571776
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096573836
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096574610
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096577834
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096578324
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096578700
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096579612
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096585162
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096585569
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096591210
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469096594425
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096597565
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096599712
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096600495
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096601116
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096602272
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096607023
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096610989
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096616286
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096617783
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096618153
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096621825
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096625583
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096626340
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096627790
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096674132
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096676657
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096678072
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096684258
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096690119
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096692180
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096694714
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096697790
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096698581
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096699156
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096702102
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096705283
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096706351
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096706795
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096710501
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469096713282
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469096714097
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096714433
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469096717719
