what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519140337
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519154716
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519161909
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519162230
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519187965
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519189877
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519190936
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1474519202421
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519204899
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519206115
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519207179
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519209509
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519213850
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519216801
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519226194
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519226631
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519234191
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1474519236726
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519237684
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519252776
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519253150
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519263052
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1474519265490
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519266554
executed,command,org.eclipse.ui.workbench.texteditor,3.7.100.v20110816-0800,"org.eclipse.ui.edit.text.delete.line",1474519278165
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519279844
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1474519294020
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519295137
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.undo",1474519296923
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1474519303930
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519312403
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1474519316272
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1474519321154
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1474519326024
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519326790
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1474519328499
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519328884
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519329315
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519333120
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519351685
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519351984
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519361011
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519382709
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1474519623307
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1474519652092
