what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1470122600649
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1470122600672
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470122603236
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470122604508
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470122614729
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470122645537
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470122651016
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470122651558
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470122999224
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470123031580
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470123295658
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470123297774
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470123299417
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470123300047
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470123347768
activated,view,org.eclipse.jdt.ui,3.8.0.v20110913-2000,"org.eclipse.jdt.ui.PackageExplorer",1470123348585
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470123355635
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124220261
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1470124243030
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1470124243736
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124245555
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124251079
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124252178
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124311953
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1470124317639
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1470124320691
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124322932
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124380506
started,bundle,org.eclipse.jpt.jpa.ui,3.0.0.v201105170000,"org.eclipse.jpt.jpa.ui",1470124392088
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1470124392495
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1470124397563
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470124406023
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470124414048
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470124427799
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1470124430265
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470124432581
executed,command,org.eclipse.ui.workbench.texteditor,3.7.100.v20110816-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1470124439405
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470124441790
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470124451936
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124453643
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124470633
executed,command,org.eclipse.ui.workbench.texteditor,3.7.100.v20110816-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1470124476913
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470124478315
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470124484310
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470124503101
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470124535348
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124535774
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124536505
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124538068
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124560898
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470124567346
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124611216
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124612263
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124613051
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124614227
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470124622334
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1470124635871
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470124637558
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470124638376
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124638994
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124720816
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470124724590
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470124725843
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124726635
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470124733489
