what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088341165
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088343690
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088348338
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088352162
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088352994
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088353322
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088356141
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088361213
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088362824
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469088366771
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088369131
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088372031
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088373870
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088378705
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088382686
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088384468
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088384802
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088387145
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088390483
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088391372
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088391698
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088394740
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088400922
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088403131
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088406264
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088409550
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088412847
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088414910
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088415204
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088416518
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088421996
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088423130
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088428179
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088432043
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088446513
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088449272
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088452935
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088454542
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088457778
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088459353
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088462542
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088464736
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088474489
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088474792
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088538120
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1469088544993
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088545375
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088545951
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088552068
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088553735
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088557421
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088559752
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088562816
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088590320
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088592812
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088594591
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088595098
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088598904
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088601844
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088602133
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088604232
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1469088607321
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088607745
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088620384
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1469088623776
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088624369
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1469088627564
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088628189
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088628531
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088652848
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088661717
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1469088670951
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088672456
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088673432
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469088681125
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088684050
executed,command,org.eclipse.ui.workbench.texteditor,3.7.100.v20110816-0800,"org.eclipse.ui.edit.text.delete.line",1469088687143
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088688014
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088688300
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088699625
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088704043
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088705000
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088705323
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088711466
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088715134
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088715873
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088716195
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088717897
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469088721532
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088721925
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088723705
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088727027
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088728072
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088728314
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088738648
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088742167
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088748728
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088753537
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088754537
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088754866
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088762346
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088765864
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088766870
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088767302
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088768754
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088770526
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088772498
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088773167
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088776553
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088781051
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088782400
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088782780
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088791025
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088794379
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088795292
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088795598
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088798277
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088805327
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088806479
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088806839
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088810310
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088814437
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469088818306
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088821018
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088822043
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088822364
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088824899
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088829734
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088830716
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088834041
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088834306
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088838506
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088863569
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088884723
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088889598
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088904946
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088906716
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469088910351
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088912816
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1469088918782
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088922053
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088923777
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088929519
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088930807
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469088936822
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088940029
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088967362
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088969468
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469088989387
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469088992966
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469088996077
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089004588
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469089007122
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089008716
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089009344
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089010006
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089010553
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089011211
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089011814
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089012431
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089013763
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089014149
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089017855
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089021252
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089022112
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089022467
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089025323
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089029423
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089030363
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089030853
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089033465
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089038283
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089039602
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089039928
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089043176
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089047533
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089048087
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089048513
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089051221
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089055859
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089056798
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089057149
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089057878
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089060067
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089063263
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089068496
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089069371
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089069730
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089072515
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089076271
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089077427
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089077790
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089081714
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089084635
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089085460
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089085880
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089090070
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089113598
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089113935
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089115246
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089116875
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089118661
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089119621
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089126659
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089159631
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089160001
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089169702
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089175672
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089176000
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089181613
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089182702
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089183201
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1469089185848
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089186237
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089186586
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089201550
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089204141
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089209442
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089216775
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089217987
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089219936
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089220324
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089221406
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089221791
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089227707
executed,command,org.eclipse.ui.workbench.texteditor,3.7.100.v20110816-0800,"org.eclipse.ui.edit.text.delete.line",1469089230951
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089231927
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469089234493
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089236312
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089246953
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1469089250805
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089252061
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089252467
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089265717
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089270733
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089272179
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089274238
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089282480
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089304588
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089306426
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089314290
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469089321935
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469089323872
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469089324448
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469089324817
