what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1473817386015
started,bundle,org.eclipse.wst.html.core,1.1.500.v201104191551,"org.eclipse.wst.html.core",1473817386046
started,bundle,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.ui",1473817386062
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.400.v201104190230,"org.eclipse.wst.jsdt.web.core",1473817386077
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.400.v201103080228,"org.eclipse.wst.jsdt.web.ui",1473817386093
os,sysinfo,,,"win32",1473817386093
arch,sysinfo,,,"x86_64",1473817386093
ws,sysinfo,,,"win32",1473817386093
locale,sysinfo,,,"zh_CN",1473817386093
processors,sysinfo,,,"4",1473817386093
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1473817386093
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1473817386093
java.specification.name,sysinfo,,,"Java Platform API Specification",1473817386093
java.specification.vendor,sysinfo,,,"Oracle Corporation",1473817386093
java.specification.version,sysinfo,,,"1.7",1473817386093
java.vendor,sysinfo,,,"Oracle Corporation",1473817386093
java.version,sysinfo,,,"1.7.0_01",1473817386093
java.vm.info,sysinfo,,,"mixed mode",1473817386093
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1473817386093
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1473817386093
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1473817386093
java.vm.specification.version,sysinfo,,,"1.7",1473817386093
java.vm.vendor,sysinfo,,,"Oracle Corporation",1473817386093
java.vm.version,sysinfo,,,"21.1-b02",1473817386093
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473817438235
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473817441344
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473817445047
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473817447944
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1473817450075
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1473817450137
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473817451794
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473817454497
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1473817490229
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1473817490307
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1473817490322
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473817490479
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473817520676
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1473817525608
executed,command,org.eclipse.ui.workbench.texteditor,3.7.100.v20110816-0800,"org.eclipse.ui.edit.text.delete.line",1473817532467
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1473817533827
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1473817544858
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1473817545030
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1473817545046
started,bundle,org.eclipse.jst.jsf.core,1.3.5.v201105031140,"org.eclipse.jst.jsf.core",1473817545077
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1473817545092
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1473817545155
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1473817545171
started,bundle,org.tmatesoft.svnkit,1.3.5.7406,"org.tmatesoft.svnkit",1473817545264
started,bundle,com.sun.jna,3.2.7,"com.sun.jna",1473817545374
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1473817545592
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1474166069964
started,bundle,org.eclipse.osgi,3.8.0.v20110908-1857,"org.eclipse.osgi",1474166069964
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1474166069964
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1474166070011
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1474166070011
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1474166070058
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1474166070105
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1474166070105
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1474166070230
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1474166070230
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1474166070245
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1474166070261
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1474166070261
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1474166070386
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1474166070433
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1474166070433
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1474166070449
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1474166070449
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1474166070495
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1474166070527
started,bundle,org.eclipse.jem.workbench,2.0.400.v201104251400,"org.eclipse.jem.workbench",1474166070699
started,bundle,org.eclipse.jst.common.frameworks,1.1.500.v201104081500,"org.eclipse.jst.common.frameworks",1474166070714
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1474166070745
started,bundle,org.eclipse.jst.jee,1.0.401.v201105122000,"org.eclipse.jst.jee",1474166070792
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1474166070792
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1474166070792
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1474166070933
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1474166070964
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1474166070964
