what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.core,1.1.500.v201104191551,"org.eclipse.wst.html.core",1467083378041
started,bundle,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.ui",1467083378043
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.400.v201104190230,"org.eclipse.wst.jsdt.web.core",1467083378044
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.400.v201103080228,"org.eclipse.wst.jsdt.web.ui",1467083378045
os,sysinfo,,,"win32",1467083378050
arch,sysinfo,,,"x86_64",1467083378050
ws,sysinfo,,,"win32",1467083378050
locale,sysinfo,,,"zh_CN",1467083378050
processors,sysinfo,,,"4",1467083378050
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1467083378050
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1467083378050
java.specification.name,sysinfo,,,"Java Platform API Specification",1467083378050
java.specification.vendor,sysinfo,,,"Oracle Corporation",1467083378050
java.specification.version,sysinfo,,,"1.7",1467083378050
java.vendor,sysinfo,,,"Oracle Corporation",1467083378050
java.version,sysinfo,,,"1.7.0_01",1467083378050
java.vm.info,sysinfo,,,"mixed mode",1467083378050
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1467083378050
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1467083378050
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1467083378050
java.vm.specification.version,sysinfo,,,"1.7",1467083378050
java.vm.vendor,sysinfo,,,"Oracle Corporation",1467083378050
java.vm.version,sysinfo,,,"21.1-b02",1467083378050
error,log,,,"Unable to update index for local-nexus|http://114.215.190.138:8081/nexus/content/groups/public/",1467083379466
started,bundle,org.eclipse.core.variables,3.2.600.v20110711,"org.eclipse.core.variables",1467083380057
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1467083380080
activated,view,org.eclipse.jdt.ui,3.8.0.v20110913-2000,"org.eclipse.jdt.ui.PackageExplorer",1467083387342
started,bundle,org.eclipse.ltk.core.refactoring,3.5.300.v20110621-0800,"org.eclipse.ltk.core.refactoring",1467083398932
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1467083420074
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1467083426543
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1467083438418
opened,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1467083438637
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.100.v201103232243,"org.eclipse.wst.jsdt.debug.ui",1467083438746
activated,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1467083438778
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1467083466434
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1467083466684
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1467083466872
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1467083467090
activated,view,org.eclipse.jdt.ui,3.8.0.v20110913-2000,"org.eclipse.jdt.ui.PackageExplorer",1467083476637
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1467083485169
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1467083485200
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1467083486294
started,bundle,org.eclipse.jst.jsf.core,1.3.5.v201105031140,"org.eclipse.jst.jsf.core",1467083486294
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1467083486294
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1467083486309
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1467083487575
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.findReplace",1467083487669
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1467083488934
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1467083499685
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1467083501935
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1467083503403
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1467083504403
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1467083526017
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1467083527173
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1467083527689
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1467083527751
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1467083527767
started,bundle,org.tmatesoft.svnkit,1.3.5.7406,"org.tmatesoft.svnkit",1467083527876
started,bundle,com.sun.jna,3.2.7,"com.sun.jna",1467083528033
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1467083528439
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1467083528455
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1467083529204
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1467083529236
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1467083529236
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1467083529314
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1467083529329
