what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469518925208
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469518927813
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469518928133
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469518929332
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469518930345
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469518945752
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469518973603
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469518990793
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469518999447
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469519000103
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469519001513
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469519002127
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469519009233
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469519018433
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469519018836
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469519025016
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469519028327
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469519029014
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469519045670
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1469519047692
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469519055549
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469519055924
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1469519056433
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469519074298
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469519075044
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1469519077683
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469519078681
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469519081763
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.undo",1469519085238
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1469519085771
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1469519091897
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1469519092313
