what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470810850100
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810850743
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810864029
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.undo",1470810867475
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470810873649
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810880692
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810892842
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810899874
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810904563
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1470810912839
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470810913538
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810914115
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810922304
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1470810927889
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470810929944
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810930551
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810939496
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810943041
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810950201
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.undo",1470810953450
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.undo",1470810954316
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470810957318
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470810970156
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810970719
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810978150
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470810987884
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811004524
activated,view,org.eclipse.jdt.ui,3.8.0.v20110913-2000,"org.eclipse.jdt.ui.PackageExplorer",1470811005620
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1470811009089
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1470811021967
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1470811021995
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1470811064394
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1470811064631
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811065154
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811067457
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1470811069562
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470811083181
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811085392
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811085980
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811094223
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811109237
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811110561
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811113200
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811113677
activated,view,org.eclipse.jdt.ui,3.8.0.v20110913-2000,"org.eclipse.jdt.ui.PackageExplorer",1470811118948
opened,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1470811133453
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.100.v201103232243,"org.eclipse.wst.jsdt.debug.ui",1470811133588
activated,editor,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1470811133596
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1470811155036
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1470811156108
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1470811175348
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1470811184071
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811184709
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811185738
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811186525
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811187269
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1470811188883
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470811196598
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811201988
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811202724
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811212997
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1470811221922
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470811224959
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470811227102
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811228406
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1470811233912
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470811236466
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811237234
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811279632
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811280292
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811288022
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.cut",1470811293587
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470811297801
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811298883
executed,command,org.eclipse.ui.workbench.texteditor,3.7.100.v20110816-0800,"org.eclipse.ui.edit.text.delete.line",1470811305636
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811307473
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1470811315588
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1470811315801
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470811321357
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811322910
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811325373
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811355411
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1470811361286
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470811364434
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811365197
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811366582
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811377341
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1470811385285
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470811389850
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811391059
executed,command,org.eclipse.ui.workbench.texteditor,3.7.100.v20110816-0800,"org.eclipse.ui.edit.text.delete.line",1470811393713
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811394607
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811395564
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811403461
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811487581
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1470811488181
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811497891
executed,command,org.eclipse.ui.workbench.texteditor,3.7.100.v20110816-0800,"org.eclipse.ui.edit.text.delete.line",1470811550958
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811552020
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1470811554847
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470811558394
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811559439
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.save",1470811572121
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1470811589405
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1470811593427
