what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.ui",1471231725524
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.400.v201104190230,"org.eclipse.wst.jsdt.web.core",1471231725525
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.400.v201103080228,"org.eclipse.wst.jsdt.web.ui",1471231725526
os,sysinfo,,,"win32",1471231725531
arch,sysinfo,,,"x86_64",1471231725531
ws,sysinfo,,,"win32",1471231725531
locale,sysinfo,,,"zh_CN",1471231725531
processors,sysinfo,,,"4",1471231725531
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1471231725531
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1471231725531
java.specification.name,sysinfo,,,"Java Platform API Specification",1471231725531
java.specification.vendor,sysinfo,,,"Oracle Corporation",1471231725531
java.specification.version,sysinfo,,,"1.7",1471231725531
java.vendor,sysinfo,,,"Oracle Corporation",1471231725531
java.version,sysinfo,,,"1.7.0_01",1471231725531
java.vm.info,sysinfo,,,"mixed mode",1471231725531
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1471231725531
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1471231725531
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1471231725531
java.vm.specification.version,sysinfo,,,"1.7",1471231725531
java.vm.vendor,sysinfo,,,"Oracle Corporation",1471231725531
java.vm.version,sysinfo,,,"21.1-b02",1471231725531
started,bundle,org.eclipse.core.variables,3.2.600.v20110711,"org.eclipse.core.variables",1471231726810
error,log,,,"Unable to update index for local-nexus|http://114.215.190.138:8081/nexus/content/groups/public/",1471231726866
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1471231727514
activated,view,org.eclipse.jdt.ui,3.8.0.v20110913-2000,"org.eclipse.jdt.ui.PackageExplorer",1471231727820
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1471231729034
activated,view,org.eclipse.jdt.ui,3.8.0.v20110913-2000,"org.eclipse.jdt.ui.PackageExplorer",1471231730188
closed,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1471231730189
started,bundle,org.eclipse.ltk.core.refactoring,3.5.300.v20110621-0800,"org.eclipse.ltk.core.refactoring",1471231740019
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1471231744306
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1471231744345
activated,view,org.eclipse.jdt.ui,3.8.0.v20110913-2000,"org.eclipse.jdt.ui.PackageExplorer",1471231745738
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1471231746717
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1471231765183
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1471231766302
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1471231768992
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1471231789849
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1471231806434
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1471231817325
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1471231824581
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1471231831744
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1471231845009
started,bundle,org.eclipse.jst.jsf.core,1.3.5.v201105031140,"org.eclipse.jst.jsf.core",1471231845017
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1471231845019
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1471231845026
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1471231879055
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1471231880964
