what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1473750398162
error,log,,,"Core exception while retrieving the content description",1473750398163
error,log,,,"Core exception while retrieving the content description",1473750398164
error,log,,,"Core exception while retrieving the content description",1473750398165
error,log,,,"Core exception while retrieving the content description",1473750398166
error,log,,,"Core exception while retrieving the content description",1473750398167
error,log,,,"Core exception while retrieving the content description",1473750398168
error,log,,,"Core exception while retrieving the content description",1473750398171
error,log,,,"Core exception while retrieving the content description",1473750398173
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750399138
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750403094
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.delete",1473750403102
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.file.refresh",1473750409843
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1473750410153
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1473750410157
started,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1473750411221
started,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1473750411314
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1473750418292
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750420706
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750424429
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750424921
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750438404
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.paste",1473750438498
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1473750439183
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750443819
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750450257
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750452032
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750476375
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750479290
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750610707
deactivated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750612998
activated,workbench,org.eclipse.ui.workbench,3.8.0.v20110909-1954,"",1473750613658
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1473750613876
started,bundle,org.eclipse.jst.jsf.core,1.3.5.v201105031140,"org.eclipse.jst.jsf.core",1473750613881
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1473750613883
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1473750613895
activated,view,org.eclipse.jdt.ui,3.8.0.v20110913-2000,"org.eclipse.jdt.ui.PackageExplorer",1473750617147
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1473750629529
executed,command,org.eclipse.ui,3.7.100.v20110711-2027,"org.eclipse.ui.edit.copy",1473750633509
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1473750633637
